0 Temps	1 Thermocouple 0	2 Thermocouple 1	3 Thermocouple 2	4 Thermocouple 3	5 Thermocouple 4	6 Pression	7 Force	8 Temps Magna Power	9 Voltage Magna Power	10 Courant Magna Power
2019,600	169,510	184,450	717,050	720,870	720,890	101,480	321,700	84,000	57,200	2,290
2019,800	169,610	184,500	717,050	720,880	720,900	101,480	321,790	84,000	57,200	2,290
2020,000	169,680	184,570	717,040	720,870	720,900	101,480	321,760	84,000	57,100	2,290
2020,200	169,960	184,790	717,040	720,850	720,890	101,480	321,670	85,000	57,100	2,290
2020,400	170,180	185,030	717,050	720,860	720,910	101,480	321,600	85,000	57,100	2,290
2020,600	170,390	185,120	717,050	720,880	720,910	101,480	321,630	85,000	57,100	2,290
2020,800	170,530	185,260	717,040	720,860	720,910	101,480	321,630	85,000	57,200	2,290
2021,000	170,610	185,370	717,060	720,870	720,910	101,480	321,710	85,000	57,100	2,290
2021,200	170,820	185,520	717,040	720,850	720,910	101,480	321,620	86,000	57,100	2,290
2021,400	171,020	185,540	717,040	720,870	720,920	101,480	321,710	86,000	57,100	2,290
2021,600	171,170	185,610	717,060	720,860	720,920	101,480	321,800	86,000	57,100	2,290
2021,800	171,390	185,710	717,050	720,860	720,900	101,480	321,810	86,000	57,100	2,290
2022,000	171,510	185,940	717,040	720,870	720,890	101,480	321,840	86,000	57,100	2,290
2022,200	171,620	186,200	717,040	720,860	720,890	101,480	321,790	87,000	57,100	2,290
2022,400	171,750	186,300	717,050	720,870	720,900	101,480	321,830	87,000	57,100	2,290
2022,600	171,920	186,380	717,060	720,880	720,890	101,480	321,900	87,000	57,100	2,290
2022,800	172,190	186,440	717,050	720,880	720,900	101,480	321,840	87,000	57,100	2,290
2023,000	172,390	186,570	717,060	720,890	720,890	101,480	321,700	87,000	57,100	2,290
2023,200	172,520	186,770	717,040	720,860	720,910	101,480	321,050	88,000	57,100	2,290
2023,400	172,590	186,880	718,290	720,870	720,900	101,480	320,770	88,000	57,100	2,290
2023,600	172,780	187,040	717,540	720,860	720,910	101,480	320,570	88,000	57,200	2,290
2023,800	173,000	187,210	717,230	720,860	720,890	101,480	320,530	88,000	57,200	2,270
2024,000	173,220	187,310	717,090	720,870	720,910	101,480	320,440	88,000	57,200	2,270
2024,200	173,430	187,430	717,030	720,850	720,900	101,480	320,340	88,000	57,200	2,270
2024,400	173,510	187,480	717,030	720,860	720,880	101,480	320,370	89,000	57,200	2,270
2024,600	173,580	187,610	717,030	720,870	720,880	101,480	320,380	89,000	57,200	2,270
2024,800	173,760	187,820	717,030	720,860	720,890	101,480	320,470	89,000	57,200	2,290
2025,000	173,950	188,000	717,030	720,860	720,910	101,480	320,450	90,000	57,200	2,290
2025,200	174,240	188,200	717,040	720,850	720,910	101,480	320,470	90,000	57,200	2,290
2025,400	174,380	188,310	717,120	720,870	720,900	101,480	320,520	90,000	57,200	2,290
2025,600	174,440	188,340	717,160	720,860	720,920	101,480	320,440	90,000	57,100	2,290
2025,800	174,540	188,380	717,170	720,870	720,910	101,480	320,380	90,000	57,100	2,290
2026,000	174,680	188,450	717,260	720,860	720,910	101,480	320,490	90,000	57,200	2,290
2026,200	174,970	188,680	717,190	720,860	720,890	101,480	320,090	91,000	57,200	2,290
2026,400	175,150	188,770	717,160	720,870	720,900	101,480	320,310	91,000	57,100	2,290
2026,600	175,280	188,980	717,140	720,870	720,900	101,480	320,400	91,000	57,100	2,290
2026,800	175,390	189,140	717,120	720,860	720,900	101,480	320,430	91,000	57,200	2,290
2027,000	175,510	189,250	717,090	720,870	720,900	101,480	320,420	91,000	57,100	2,290
2027,200	175,710	189,370	717,050	720,860	720,910	101,480	320,380	92,000	57,100	2,290
2027,400	175,920	189,420	717,050	720,860	720,910	101,480	320,360	92,000	57,100	2,290
2027,600	176,110	189,520	717,060	720,860	720,900	101,480	320,270	92,000	57,100	2,290
2027,800	176,270	189,690	717,080	720,870	720,920	101,480	320,340	92,000	57,100	2,290
2028,000	176,350	189,890	717,090	720,870	720,920	101,480	320,330	92,000	57,100	2,290
2028,200	176,500	190,080	717,120	720,850	720,910	101,480	320,400	93,000	57,100	2,290
2028,400	176,660	190,180	717,100	720,850	720,900	101,480	320,280	93,000	57,100	2,290
2028,600	176,850	190,240	717,070	720,860	720,890	101,480	320,190	93,000	57,100	2,290
2028,800	177,060	190,340	717,060	720,870	720,900	101,480	320,100	93,000	57,200	2,290
2029,000	177,200	190,390	717,090	720,850	720,910	101,480	320,030	93,000	57,200	2,290
2029,200	177,330	190,600	717,160	720,850	720,890	101,470	320,070	94,000	57,100	2,290
2029,400	177,390	190,800	717,330	720,870	720,890	101,470	320,110	94,000	57,100	2,290
2029,600	177,540	190,970	717,240	720,860	720,880	101,460	319,900	94,000	57,100	2,290
2029,800	177,760	191,090	717,140	720,870	720,910	101,450	319,430	94,000	57,200	2,290
2030,000	177,990	191,170	717,130	720,870	720,920	101,430	319,010	95,000	57,200	2,290
2030,200	178,180	191,260	717,170	720,860	720,910	101,440	318,750	95,000	57,200	2,290
2030,400	178,250	191,300	717,110	720,860	720,920	101,440	318,560	95,000	57,200	2,290
2030,600	178,300	191,370	717,090	720,860	720,900	101,430	318,520	95,000	57,200	2,270
2030,800	178,450	191,490	717,080	720,870	720,930	101,430	318,470	95,000	57,200	2,290
2031,000	178,640	191,700	717,500	720,870	720,900	101,420	318,350	96,000	57,200	2,290
2031,200	178,900	191,910	717,770	720,860	720,890	101,430	318,370	96,000	57,100	2,290
2031,400	179,100	192,040	717,340	720,860	720,880	101,430	318,260	96,000	57,100	2,290
2031,600	179,170	192,130	717,170	720,860	720,900	101,430	318,060	96,000	57,100	2,290
2031,800	179,250	192,170	717,090	720,870	720,880	101,420	318,020	96,000	57,100	2,290
2032,000	179,320	192,280	717,100	720,870	720,890	101,390	318,110	96,000	57,100	2,290
2032,200	179,580	192,410	717,190	720,870	720,900	101,360	318,240	97,000	57,100	2,290
2032,400	179,770	192,510	717,120	720,870	720,910	101,340	318,390	97,000	57,000	2,290
2032,600	179,950	192,640	717,100	720,870	720,900	101,380	318,490	97,000	57,000	2,290
2032,800	180,100	192,860	717,110	720,870	720,890	101,400	318,470	97,000	57,000	2,290
2033,000	180,170	193,020	717,100	720,860	720,910	101,380	318,640	97,000	57,000	2,290
2033,200	180,290	193,130	717,090	720,860	720,920	101,380	318,600	98,000	57,000	2,290
2033,400	180,350	193,160	717,130	720,870	720,910	101,370	318,680	98,000	56,900	2,290
2033,600	180,570	193,240	717,170	720,850	720,910	101,350	318,720	98,000	56,900	2,290
2033,800	180,810	193,330	717,170	720,870	720,900	101,340	318,620	98,000	56,900	2,290
2034,000	180,970	193,490	717,170	720,870	720,880	101,330	318,690	98,000	56,900	2,290
2034,200	181,110	193,700	717,260	720,870	720,890	101,330	318,860	99,000	56,900	2,290
2034,400	181,170	193,830	717,300	720,880	720,900	101,330	318,950	99,000	56,900	2,290
2034,600	181,230	193,970	717,240	720,890	720,900	101,320	318,940	99,000	56,900	2,290
2034,800	181,360	194,060	717,300	720,860	720,920	101,320	318,870	99,000	56,900	2,290
2035,000	181,540	194,120	717,420	720,870	720,920	101,320	319,010	100,000	56,900	2,290
2035,200	181,830	194,170	717,320	720,860	720,910	101,320	318,940	100,000	56,900	2,290
2035,400	181,970	194,250	717,440	720,860	720,910	101,320	319,050	100,000	56,900	2,290
2035,600	182,080	194,430	718,690	720,890	720,910	101,330	319,070	100,000	56,800	2,290
2035,800	182,140	194,630	719,200	720,870	720,910	101,320	319,020	100,000	56,900	2,290
2036,000	182,270	194,760	719,400	720,880	720,910	101,330	319,000	101,000	56,900	2,290
2036,200	182,510	194,920	719,460	720,860	720,900	101,320	319,160	101,000	56,900	2,290
2036,400	182,710	194,980	719,470	720,860	720,900	101,320	319,210	101,000	56,900	2,290
2036,600	182,900	195,030	718,700	720,870	720,910	101,320	319,260	101,000	56,800	2,290
2036,800	183,010	195,100	718,280	720,870	720,910	101,320	319,070	101,000	56,800	2,290
2037,000	183,080	195,200	718,110	720,870	720,890	101,310	318,990	102,000	56,900	2,290
2037,200	183,160	195,380	718,020	720,850	720,890	101,310	318,960	102,000	56,900	2,290
2037,400	183,300	195,470	718,020	720,860	720,910	101,310	318,950	102,000	56,900	2,290
2037,600	183,450	195,690	718,000	720,850	720,910	101,310	318,900	102,000	56,800	2,290
2037,800	183,650	195,860	718,000	720,860	720,890	101,310	318,900	102,000	56,800	2,290
2038,000	183,810	195,960	717,820	720,880	720,890	101,310	318,980	103,000	56,900	2,290
2038,200	183,970	196,040	717,370	720,870	720,880	101,310	318,950	103,000	56,900	2,290
2038,400	184,020	196,080	717,180	720,860	720,890	101,310	318,810	103,000	56,900	2,290
2038,600	184,070	196,180	717,110	720,890	720,900	101,310	318,900	103,000	56,900	2,290
2038,800	184,150	196,350	717,070	720,880	720,890	101,310	318,970	103,000	56,900	2,290
2039,000	184,310	196,490	717,050	720,870	720,890	101,310	318,890	103,000	56,900	2,290
2039,200	184,530	196,730	717,240	720,850	720,890	101,310	319,100	104,000	56,900	2,290
2039,400	184,720	196,810	717,130	720,860	720,900	101,310	319,150	104,000	56,900	2,290
2039,600	184,860	196,910	717,130	720,860	720,890	101,310	319,020	104,000	56,900	2,290
2039,800	184,950	196,950	717,090	720,860	720,890	101,310	319,000	104,000	56,800	2,290
2040,000	185,020	196,990	717,090	720,870	720,900	101,310	318,850	104,000	56,800	2,290
2040,200	185,170	197,090	717,150	720,860	720,930	101,310	318,970	105,000	56,900	2,290
2040,400	185,300	197,160	717,120	720,870	720,910	101,310	318,730	105,000	56,900	2,290
2040,600	185,470	197,330	717,150	720,880	720,920	101,310	318,700	105,000	56,900	2,290
2040,800	185,670	197,580	717,110	720,870	720,900	101,310	318,660	105,000	56,900	2,290
2041,000	185,820	197,700	717,170	720,860	720,920	101,310	318,720	106,000	56,900	2,290
2041,200	185,910	197,820	717,170	720,850	720,930	101,310	319,040	106,000	56,800	2,290
2041,400	185,960	197,890	717,370	720,870	720,910	101,310	318,930	106,000	56,800	2,290
2041,600	186,020	197,940	717,190	720,870	720,910	101,310	318,940	106,000	56,800	2,290
2041,800	186,140	197,970	717,120	720,860	720,910	101,310	319,180	106,000	56,700	2,290
2042,000	186,430	198,060	717,140	720,860	720,910	101,300	318,720	107,000	56,700	2,290
2042,200	186,610	198,190	717,200	720,870	720,890	101,290	318,510	107,000	56,900	2,290
2042,400	186,670	198,220	717,150	720,900	720,900	101,280	318,320	107,000	56,900	2,290
2042,600	186,820	198,440	717,230	720,890	720,910	101,270	318,240	107,000	56,900	2,290
2042,800	186,890	198,630	717,330	720,880	720,900	101,270	318,270	107,000	56,900	2,290
2043,000	186,990	198,770	717,370	720,870	720,910	101,260	318,530	108,000	56,800	2,290
2043,200	187,130	198,870	717,520	720,870	720,910	101,260	318,620	108,000	56,800	2,290
2043,400	187,230	198,910	717,530	720,870	720,920	101,260	318,780	108,000	56,800	2,290
2043,600	187,400	198,950	717,440	720,870	720,930	101,270	318,790	108,000	56,800	2,290
2043,800	187,580	199,030	717,510	720,870	720,920	101,260	318,910	108,000	56,800	2,290
2044,000	187,790	199,180	717,540	720,860	720,910	101,260	319,010	109,000	56,800	2,290
2044,200	187,860	199,360	717,380	720,880	720,910	101,260	319,120	109,000	56,800	2,290
2044,400	187,910	199,530	717,370	720,870	720,890	101,260	318,980	109,000	56,800	2,290
2044,600	187,970	199,660	717,630	720,870	720,910	101,270	319,000	109,000	56,700	2,290
2044,800	188,130	199,760	717,590	720,860	720,900	101,270	318,890	109,000	56,700	2,290
2045,000	188,350	199,890	717,500	720,850	720,910	101,260	318,910	109,000	56,800	2,290
2045,200	188,520	199,890	718,700	720,860	720,920	101,260	318,780	110,000	56,800	2,290
2045,400	188,660	199,910	719,120	720,870	720,920	101,270	318,780	110,000	56,800	2,290
2045,600	188,760	200,040	719,410	720,880	720,900	101,260	318,710	110,000	56,800	2,290
2045,800	188,810	200,240	719,460	720,870	720,890	101,260	318,640	111,000	56,700	2,290
2046,000	188,950	200,430	719,500	720,870	720,920	101,260	318,490	111,000	56,700	2,290
2046,200	189,060	200,560	719,540	720,870	720,950	101,270	318,580	111,000	56,700	2,290
2046,400	189,190	200,700	718,860	720,870	720,910	101,250	318,780	111,000	56,800	2,290
2046,600	189,370	200,750	718,280	720,890	720,910	101,200	318,710	111,000	56,800	2,290
2046,800	189,530	200,810	717,780	720,870	720,900	101,170	318,740	111,000	56,800	2,290
2047,000	189,710	200,910	717,340	720,870	720,910	101,210	319,010	112,000	56,800	2,290
2047,200	189,780	200,920	717,170	720,860	720,890	101,240	318,980	112,000	56,700	2,290
2047,400	189,810	200,980	717,090	720,850	720,920	101,260	318,960	112,000	56,700	2,290
2047,600	189,880	201,110	717,090	720,860	720,910	101,260	319,010	112,000	56,700	2,290
2047,800	189,990	201,270	717,130	720,870	720,900	101,220	318,930	112,000	56,700	2,290
2048,000	190,230	201,490	717,250	720,860	720,910	101,190	318,780	113,000	56,700	2,290
